Get a loan	loan
Hi there! I need some help with… my tax refund has not deposited into my account yet. The IRS website shows that it was sent to my bank account on January 31st. I just wanted to be sure that transaction will be coming through	refund deposited, account irs, transaction coming, january 31st
Yes I was trying to mobile deposit to my money market invest account	mobile deposit, trying mobile, market invest, yes trying
My bill pay account is locked and I got an email saying I need to contact customer service to unlock,	account locked, customer service, email saying, got, saying need
I noticed an online charge that was made with my debit card that I did not make	online charge, debit, card did, noticed, make
Locked out of my phone app	locked phone, phone app, app, locked, phone
We currently have 2 auto loans with AIQFinancial. I would like to see what the amounts due, the payoff, and what the inerest rates are for those please.  Looking at trading in one of the vehicles so interested to see what payoff and interest rate would be on purchase of a different vehicle.	loans aiqfinancial, payoff rate, different vehicle, like amounts, interested
What is my account number?	account number, number
I received a notice in the mail about my account.	received notice, notice mail, mail account, notice, received
Where is the link to deposit a check?	deposit check, link deposit, deposit, check, link
Did that website change?  Where do I go to see my acct balances and transactions?	website change, acct balances, website, transactions, did
Hi. I would like to change bank account from which I am credited	change bank, credited, like change, hi like
AIQFinancial app disappeared from my cell. Use biometrics..can't reset password as it noted to contact you.	aiqfinancial app, reset password, disappeared cell, use biometrics, noted contact
Limit increase	limit increase, limit, increase
Someone stole my purse and my card was in it.	stole purse, purse card, purse, stole, card
I need to refund a $5 fee for a cashiers check	fee cashiers, need refund, fee, check
cd rates	cd rates, rates, cd
Why can’t I access my funds?	access funds, funds, access
I was not aware I was on a chit chat with someone at AIQFinancial!  I have no questions. Bye	chat aiqfinancial, aiqfinancial questions, aware chit, questions, bye
I lost my bank card	lost bank, bank card, card, lost
I need all bank statements for 2019-2022 for account 000000	bank statements, 000000, 2019 2022
Human Resources	human resources, resources, human
I do not see the code in my email.	code email, code, email
what does pre authorization on my debit card mean	pre authorization, debit, does pre, card mean, does
I want to get signed out now but to not see a way to do this	signed way, want signed, signed, want, way
Hi there! I need some help with unlocking my mobile app	unlocking mobile, help unlocking, app, hi need
Hi there! I need some help with my debit card being declined this weekend. I checked online banking and it showed funds available and that my card was active	debit card, declined weekend, funds available, showed, hi need
New looking for my account number	account number, looking account, number, looking, new
My account balance shows 0. Why!	account balance, balance, balance shows, shows
How long do pending transactions take to come off?	pending transactions, long pending, transactions come, long, come
Hi there! I need some help with resetting my password I’m my account.	resetting password, help resetting
Necesito me ayuden con la aplicación por el teléfono	el teléfono, la aplicación, necesito ayuden, ayuden la, por
